IRI Profile on 20100101 0200 UT 
Altitude, Ne[m^-3], Ti[K],Te[K]
242.00,1.473e+11,820.98,1383.12
243.00,1.486e+11,824.23,1383.57
244.00,1.497e+11,827.49,1384.01
245.00,1.508e+11,830.75,1384.45
246.00,1.517e+11,834.00,1384.89
247.00,1.526e+11,837.26,1385.34
248.00,1.533e+11,840.52,1385.78
249.00,1.540e+11,843.78,1386.22
250.00,1.545e+11,847.03,1386.66
251.00,1.550e+11,850.29,1387.10
252.00,1.554e+11,853.55,1387.54
253.00,1.556e+11,856.81,1387.99
254.00,1.558e+11,860.06,1388.43
255.00,1.558e+11,863.32,1388.87
256.00,1.558e+11,866.58,1389.31
257.00,1.558e+11,869.83,1389.75
258.00,1.557e+11,873.09,1390.20
259.00,1.557e+11,876.35,1390.64
260.00,1.556e+11,879.61,1391.08
261.00,1.556e+11,882.86,1391.52
262.00,1.555e+11,886.12,1391.97
263.00,1.554e+11,889.38,1392.41
264.00,1.553e+11,892.64,1392.85
265.00,1.552e+11,895.89,1393.30
266.00,1.550e+11,899.15,1393.74
267.00,1.549e+11,902.41,1394.19
268.00,1.547e+11,905.66,1394.64
269.00,1.545e+11,908.92,1395.08
270.00,1.544e+11,912.18,1395.53
271.00,1.542e+11,915.44,1395.99
272.00,1.540e+11,918.69,1396.44
273.00,1.537e+11,921.95,1396.90
274.00,1.535e+11,925.21,1397.36
275.00,1.533e+11,928.47,1397.82
276.00,1.530e+11,931.72,1398.29
277.00,1.528e+11,934.98,1398.77
278.00,1.525e+11,938.24,1399.25
279.00,1.522e+11,941.49,1399.75
280.00,1.519e+11,944.75,1400.25
281.00,1.516e+11,948.01,1400.77
282.00,1.513e+11,951.27,1401.31
283.00,1.509e+11,954.52,1401.87
284.00,1.506e+11,957.78,1402.45
285.00,1.502e+11,961.04,1403.06
286.00,1.499e+11,964.30,1403.71
287.00,1.495e+11,967.55,1404.40
288.00,1.491e+11,970.81,1405.14
289.00,1.487e+11,974.07,1405.94
290.00,1.483e+11,977.32,1406.82
